Well/XY,cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6
WellB02_Seq01202020_densenet_xy01,0,323.3940294433242,6.775928151165072,0.27809757762439047,0.33322223092904546,0.020952545607687462,2.677333996471771,0.04600271485740516,2.4876463803332634,0.6884956067376555,0.6854677935639327,0.41962146496450403,3.230884852659243,2.0974023863886133,0.03184607539715123,-33.49014618641246,5.944682418167378,-0.36608709691788155,0.9799112144555546,0.8773089559179295,0.7290775883665659,1.1423450421967445,0.7009749067816449,7.91913017353726,2.444524155360421,4.199643167525572,1.278638133274111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1487603305785124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28117699441909916,0.13340330954274346,0.028662843235818733,-0.03610696821176113,-0.08452559985934836,-0.06665479867727114,-0.11516217211505404,0.10444489157647432,0.13770800195813818,-0.031593668132934294,0.41025641025641024,0.46153846153846156,0.5128205128205128,0.5384615384615384,0.42105263157894735,0.42105263157894735,0.7850348678286176,0.007771828237415816,1.9867954640050525,0.7636911653221461,0.01710972892029249,2.178212327564772,0.8489876639945285,0.02629518339664802,1.8363942206189032,0.8417329493563859,0.03542394052267202,1.7782360236175043,0.7793275295460002,0.06716039178850215,1.8624756387279058,0.7384803149102921,0.0318148134659941,1.8124157794299016
WellB02_Seq01202020_densenet_xy02,0,932.3194385943387,222.44504641049556,0.8242715666111531,0.05238583349859405,0.23859316582080142,19.459299303613683,0.07692910765361685,7.171687989187223,0.9340005557766918,0.8993347072136317,0.7421752244123716,61.72466984489908,1.7307283163006335,0.6026824522527637,106.36113513535761,2.6062936108614156,4.183718260562887,3.861627163935421,4.775997417790043,4.575250845357268,5.083272746149577,4.972583994075757,2.2822002767718805,5.650700315606617,6.024183541721875,4.976366994700809,7.561655549141755,9.905134207155138,11.410503060328633,13.568872143932472,15.438329211959804,16.141570291951236,16.141570291951236,16.867188601516492,17.56098221186469,0.5371900826446281,0.3140495867768595,0.21487603305785125,0.17355371900826447,0.1322314049586777,0.10743801652892562,0.09917355371900827,0.09917355371900827,0.09090909090909091,0.08264462809917356,0.5976436439692331,0.4560044017902078,0.41318140238017703,0.41017754104040993,0.38530230499279433,0.47174672416349156,0.43575725313870955,0.39227378963150966,0.27750803402059315,0.3713666480432124,0.5641025641025641,0.6153846153846154,0.5897435897435898,0.6153846153846154,0.5789473684210527,0.5526315789473685,0.9865091457780851,0.02572970883092876,2.7876059652934764,0.9495110988595906,0.0586964671676032,2.7131574739373088,0.8929415164431563,0.05388857500239497,2.285823596660856,0.8536475636897785,0.004118687555110243,2.1843136987858935,0.8428276214902688,0.029847960373460082,2.077660308138926,0.7725352245081819,0.0023899657386487277,2.075537482825679
WellB02_Seq01202020_densenet_xy02,1,512.3722121875268,21.600915981125116,0.051466329428729723,0.0751069530643031,0.04215864066652241,11.497651471965588,0.023445252735561622,3.941324709134823,0.7402700585620157,0.9030989955402887,1.2125435732004273,20.025577985379424,2.203008893295914,-0.19983476766309452,-42.19499769101549,4.817640064932892,13.397871206442975,10.808307876544534,4.291481256688031,4.136167775922537,2.66546649082982,1.7440218905879972,3.747086472218321,2.824361483302087,1.3888341521507988,2.7590310015262425,4.316466570840933,5.012105832956622,5.432896440101838,5.910085108742404,6.664154826824152,0.0,0.0,0.0,0.0,0.32231404958677684,0.1487603305785124,0.10743801652892562,0.08264462809917356,0.049586776859504134,0.01652892561983471,0.0,0.0,0.0,0.0,0.6873110008808642,0.5289279238543985,0.512677475535555,0.5167106550072067,0.39858557612381895,0.380562554254493,0.38038802466495447,0.41902429126775664,0.3860885593636059,0.3329762495544305,0.48717948717948717,0.5384615384615384,0.41025641025641024,0.46153846153846156,0.47368421052631576,0.5263157894736842,0.6222997742597387,0.0017645894929076821,1.9565016537779427,0.5830839815901172,0.014444601694790987,2.0250823238192335,0.7510528057201447,0.010442012502646158,2.044542774418451,0.734420730405476,0.027699063470470155,1.9500738081951492,0.625320410457724,0.008901157201537288,1.928704109986001,0.5965587137084054,0.01151150337446201,1.841645703113713
WellB02_Seq01202020_densenet_xy02,2,363.56747139806856,44.23218512602582,0.38413495102545625,0.19961094981102945,0.12166155832350628,5.158645588392712,0.08067851815628554,2.7966728569082187,0.7340489641349607,0.798764461267167,0.7658751323054942,5.91327768732228,2.091306905948786,0.16533541152773923,-1.0359197157344653,6.3439206231695096,2.06256098286841,3.1616583940843217,0.0030792290589838345,2.416352863347485,2.294305636967807,-0.25774147724575514,-1.316094621301328,1.3992235743600645,0.33578716880667026,1.753069202254112,2.478988877814861,3.2632298194761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3884297520661157,0.11570247933884298,0.024793388429752067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416321796923374,0.22931257794758741,0.1949062441102459,0.236799443045181,0.14907188388116924,0.06325092993952562,0.08603314613296066,0.1652141721058777,0.3235075656679415,0.1981945207903798,0.3333333333333333,0.38461538461538464,0.5128205128205128,0.5897435897435898,0.47368421052631576,0.5263157894736842,0.7729139493923822,0.012338097524109951,2.3845859708672283,0.7504235316550639,0.016598024691864912,2.346749164409831,0.6776265011871859,0.012109501502244937,2.021017117263955,0.6948507839734182,0.0186775560088711,2.045003238768016,0.8449499367200554,0.13552312187648224,2.5981129787906467,0.8571644877092006,0.04900412356858738,2.5602761723332494
WellB02_Seq01202020_densenet_xy02,3,291.14807164551496,7.055516560681151,0.3819770591916319,0.20064259093621484,0.024233430504295217,6.620525548555802,0.003513389348719702,2.239600551119346,0.55882068501887,0.7041308612895818,11.511779698065379,13.434714382605694,6.714788227638278,0.15400770503826217,-29.195585280316852,48.382346910444866,22.07317632028841,1.8351278885910567,0.843559866390561,2.559554580786119,5.809962781925659,1.0500780048418497,3.706384938924172,4.04779317135337,4.5929030772146895,1.6731918602063727,3.692540807136232,3.692540807136232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11570247933884298,0.01652892561983471,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5965702019176936,0.19178942628143159,0.10239850129754628,0.06516250434352151,0.024440589964478517,0.023511892490709306,0.026182969381378398,0.025473894243044783,0.039125867046799406,0.0038111970760326373,0.4358974358974359,0.4358974358974359,0.5641025641025641,0.6153846153846154,0.5789473684210527,0.6578947368421053,0.8195808159839862,0.025516454048394713,2.23824071160192,0.730889208077843,0.0365997033639861,2.178458339815619,0.7894925221037897,0.028373690965422402,2.4342734567909448,0.7509472841188536,0.016972026891701988,2.374491085004644,0.7835179480513278,0.023605061283704706,2.445194135998906,0.7498811103876966,0.008073318280092898,2.385411764212605
WellB02_Seq01202020_densenet_xy02,4,274.852674046882,7.5086259361795245,0.2138964137120605,0.2141970623553436,0.027318729796671975,4.721035132042301,0.026377633546780115,2.114251338822169,0.5410224044125836,0.7155595539449431,3.581847254205247,6.024500519235386,4.048652053984203,-0.02559706040949114,-26.71352165295301,19.5548776107505,3.1352604741899404,6.9637320989799925,3.997762354243407,5.3854201868426035,1.4302321748071902,-0.5360500024708967,6.057230697343428,0.2190370359712226,3.5424489455401087,1.4583476827745032,2.342183271486694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11570247933884298,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350338870331482,0.2455562323567823,0.17701399303794896,0.11828533045318151,0.09271068065397113,0.037852421572534746,-0.04345336049416915,0.07683401829620215,0.09003390786555586,0.030919990468413167,0.41025641025641024,0.46153846153846156,0.46153846153846156,0.48717948717948717,0.5,0.5526315789473685,0.70791567311511,0.08715221518321267,1.874247256908389,0.6736936377094976,0.0842600092429704,1.8380429820109059,0.7403237667676309,0.019604522379065743,1.7618749886391,0.7075573491465004,0.012848276753416182,1.7150732965037012,0.567522439385701,0.00872960639150475,1.3814093204861695,0.5210994786342593,0.0027633162575990138,1.3098254707859143
WellB02_Seq01202020_densenet_xy02,5,339.18972133826423,8.065320169617344,0.5509809471235514,0.5258553006705653,0.023778197457740857,3.8268433665517634,0.05343775587943421,2.609151702602033,0.6092269494373818,0.7368895708416612,0.9887430320274979,4.589533468078537,2.6605527787250978,0.2791332782624391,-34.1674896242392,9.19779900430147,4.629361029626962,0.7294941432695361,2.3129459972534256,5.808600200240823,3.244754586978841,-0.5288717907022558,0.11636023552774866,-1.353466218959591,-0.04642650708937213,1.4967674435975482,2.158799651323231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23140495867768596,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109681303742456,0.31296374152085416,0.23163970560265423,0.21131460051424955,0.10601541695415696,0.0227992559023173,-0.09171274991523802,-0.0006342860500294195,0.04014434209997021,-0.05503124280578242,0.358974358974359,0.38461538461538464,0.5128205128205128,0.46153846153846156,0.42105263157894735,0.4473684210526316,0.6208144299315833,0.06884703663660977,2.1083945476104904,0.5978871200253878,0.017127811217931447,2.287168307384021,0.8407709753857632,0.023011059006268254,2.090611820671835,0.8139515476086359,0.017468431098394785,2.135354785339581,0.7338245549082165,0.01432031426359314,2.0102233554249134,0.7126186580185854,0.065733590515883,1.9198312725321007
WellB02_Seq01202020_densenet_xy02,6,300.9388429428641,17.98424535113948,0.05166800071419524,0.07676032151105529,0.05976046553270609,2.9663487356647025,0.01680464075450465,2.31491417648357,0.652248554912189,0.7172160601843426,1.1382206611460552,4.135119702984625,2.6191099567776934,-0.16001511047595968,-19.48591401408029,9.165418523628265,0.7074871756525134,0.8759751556068323,0.807266249405338,0.5735575633146781,3.1321487316549472,0.342767672351004,2.242329067125544,1.5254290442677316,0.8712917549624306,1.3482004030006403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14049586776859505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34507796089774495,0.23945255277125357,0.1683840960864322,0.17483796181073893,0.1745259546331623,0.10790798093014119,0.07740533713071472,0.11971719987121222,0.06145887526639314,0.029515607229356172,0.46153846153846156,0.48717948717948717,0.41025641025641024,0.38461538461538464,0.47368421052631576,0.42105263157894735,0.7223264331136375,0.00687231137849259,2.229051607816535,0.6957229211754448,0.03679523084223042,2.2545770813427253,0.8855428938504224,0.11314993797213967,2.179763663851895,0.8684590927876599,0.043177407286422574,2.1426816842975,0.7592141123268632,0.04151994390900215,2.2164296011411015,0.7592354405146653,0.01782943836714085,2.241955074667292
WellB02_Seq01202020_densenet_xy03,0,272.3428960591745,7.376030389248736,0.19051874148565703,0.2592387805941224,0.02708361589738723,2.9138013188301075,0.02931941424688946,2.094945354301343,0.6497546247396949,0.7055863885196526,1.222288821607545,3.046576152297304,2.921099494135464,-0.061482045261012946,-26.533622540666375,11.644662062236483,0.09873952823864096,2.1011250704090383,3.5633968221818773,1.4392993203350475,8.432590600676788,1.9590885712487989,6.3837570645729915,2.7690008420088317,2.241922208786443,1.2764562752004642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10743801652892562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39643599740538576,0.14410909888951917,0.1318957004470435,0.15231712116995058,0.10139928924510906,0.02208719680500396,0.04713962527393175,0.16743460656110445,0.09169708843512073,0.005048868654879045,0.3076923076923077,0.3333333333333333,0.48717948717948717,0.5128205128205128,0.47368421052631576,0.5,0.7748013743396805,0.054268887368729535,1.975796930711165,0.7483357923255414,0.016608048130112296,1.8584630603515724,0.8300499810732612,0.013450281747651434,1.967263657864401,0.8076667120728691,0.012062070007122526,1.8499297875048084,0.7166618067315087,0.027294171599732717,1.9233924124514994,0.6982532582861225,0.010228412344813613,1.902979734103528
WellB02_Seq01202020_densenet_xy03,1,281.643935700867,2.0557398123695965,0.34965475476001584,0.3287568169531379,0.007299073588266392,2.6715416688089766,0.0023607043486703044,2.1664918130835926,0.6150608630110977,0.7037050932372935,1.224548848145787,3.3783357815134325,2.7732298576238144,0.1119768702866632,-33.01199372365262,10.797114243949956,5.868125245231477,2.258300124888465,1.3356358500450538,0.7104830135731448,5.352163331868059,-0.5499977859016996,0.5647827065243942,2.135289421252155,3.0791724744585007,1.3794205158269763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743801652892562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796513561102672,0.2403578964628212,0.12677379088012194,0.15658237634919558,0.06598373899220533,0.020607329799160863,-0.1251122257555689,-0.03212270644704792,-0.037158167735770506,-0.06870261101934633,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.5,0.5526315789473685,0.611805509762938,0.009791511539879784,1.7343802540186093,0.6116023053538316,0.00992681964744519,1.8490912768305956,0.8377122907792697,0.03511549879493846,2.3491977197399776,0.7792972601319759,0.0246253149415144,2.271596779088354,0.5999075060700416,0.006437959582649646,1.7234576960844694,0.5723535340607155,0.012325911040051247,1.679909270754195
